"","X1.x","X1.y"
"221",3.39,16.321458
"22",10.296353,16.422219
"19",9.678367,18.725
"4",3.39,18.725
"2211",3.39,16.321458
"","X2.x","X2.y"
"191",10.296353,16.422219
"18",11.194356,15.852944
"181",12.542312,18.725
"19",9.678367,18.725
"1911",10.296353,16.422219
"","X3.x","X3.y"
"18",11.194356,15.852944
"20",11.791529,14.729307
"16",15.052111,14.265117
"12",13.818433,18.725
"181",12.542312,18.725
"182",11.194356,15.852944
"","X4.x","X4.y"
"171",15.052111,14.265117
"10",16.556099,13.694337
"11",16.841889,13.746269
"111",19.912001,15.280758
"6",19.912001,18.725
"12",13.818433,18.725
"1711",15.052111,14.265117
"","X5.x","X5.y"
"271",3.39,13.404615
"21",11.210959,14.021183
"20",11.791529,14.729307
"23",11.194356,15.852944
"22",10.296353,16.422219
"221",3.39,16.321458
"2711",3.39,13.404615
"","X6.x","X6.y"
"25",3.39,8.829498
"24",6.168705,8.878526
"26",10.159911,10.22511
"27",11.210959,14.021183
"271",3.39,13.404615
"251",3.39,8.829498
"","X7.x","X7.y"
"13",10.159911,10.22511
"14",11.753629,9.516815
"15",14.289421,10.156058
"17",16.556099,13.694337
"16",15.052111,14.265117
"161",11.791529,14.729307
"21",11.210959,14.021183
"131",10.159911,10.22511
"","X8.x","X8.y"
"1",12.496764,4.361363
"5",12.646096,4.696425
"2",11.753629,9.516815
"13",10.159911,10.22511
"24",6.168705,8.878526
"11",12.496764,4.361363
"","X9.x","X9.y"
"21",12.646096,4.696425
"7",15.596361,7.21322
"3",14.289421,10.156058
"2",11.753629,9.516815
"211",12.646096,4.696425
"","X10.x","X10.y"
"31",15.596361,7.21322
"8",18.173181,6.949869
"4",16.841889,13.746269
"10",16.556099,13.694337
"3",14.289421,10.156058
"311",15.596361,7.21322
"","X11.x","X11.y"
"41",18.173181,6.949869
"9",19.912001,5.871477
"111",19.912001,15.280758
"4",16.841889,13.746269
"411",18.173181,6.949869
"","X12.x","X12.y"
"5",12.646096,4.696425
"6",12.496764,4.361363
"61",12.488052,3.235
"71",19.912001,3.235
"9",19.912001,5.871477
"8",18.173181,6.949869
"7",15.596361,7.21322
"51",12.646096,4.696425
"","X13.x","X13.y"
"5",3.39,3.235
"61",12.488052,3.235
"1",12.496764,4.361363
"251",6.168705,8.878526
"25",3.39,8.829498
"51",3.39,3.235
